cohort_month,Month_0_Total_Customers,Month_1,Month_2,Month_3,Month_4,Month_5
9/1/2016,1,0,0,0,0,0
10/1/2016,262,0,0,0,0,0
12/1/2016,1,1,0,0,0,0
1/1/2017,717,2,2,1,3,1
2/1/2017,1628,3,5,2,7,2
3/1/2017,2503,11,9,10,9,4
4/1/2017,2256,14,5,4,6,6
5/1/2017,3451,16,16,10,10,11
6/1/2017,3037,15,12,13,9,12
7/1/2017,3752,20,13,9,11,8
8/1/2017,4057,28,14,11,14,21
9/1/2017,4004,28,22,11,18,9
10/1/2017,4328,31,11,4,10,9
11/1/2017,7060,40,26,12,12,13
12/1/2017,5338,11,15,18,14,11
1/1/2018,6842,23,25,20,20,11
2/1/2018,6288,22,25,19,16,14
3/1/2018,6774,27,20,20,8,8
4/1/2018,6582,39,20,16,9,0
5/1/2018,6506,34,17,12,0,0
6/1/2018,5878,25,16,0,0,0
7/1/2018,5949,31,0,0,0,0
8/1/2018,6144,0,0,0,0,0
